Name,Cl,SO4
E4B1S1,0.5561419534825531,0.002471625967334231
E4B2S1,0.5345317326477973,0.0023525114628843886
E4B1S2,0.5907183068181624,0.0026205190978965337
E4B2S2,0.6050277773709061,0.00291830535902114
E4B1S3,0.6324201924290155,0.002858748106796219
E4B2S3,0.6461456029591982,0.002858748106796219
E4B1S4,0.7141301895852948,0.0034840992551578914
E4B2S4,0.735331568404258,0.0033352061245955885
E4B1S5,0.8573417071172441,0.004079671777407104
E4B2S5,0.8738121997534632,0.004049893151294643
E4B1S6,1.0394516221517536,0.004943251934668462
E4B2S6,1.0657343231669971,0.005002809186893383
E4B1S7,1.3721322110024807,0.006640633623078716
E4B2S7,1.5428529555970514,0.007444656528115153
E4B1S8,1.4751019929799791,0.007117091640878087
E4B2S8,1.5586809822084537,0.007504213780340075
E4B1S9,2.158043377360518,0.01069052677437336
E4B2S9,2.1725280659200306,0.010958534409385505
E4B1S10,2.390966514357832,0.011851893192759325
E4B2S10,2.590539824066915,0.013043038237257748
E4B1S11,3.331127932674222,0.016973816884102547
E4B2S11,3.9672861092476275,0.02039835888703552
E4B1S12,4.223980489163172,0.021500168053196562
E4B2S12,4.802083099494017,0.025133160438916755
E4B1S13,5.466451375157118,0.016229351231291034
E4B2S13,5.9571786061128424,0.018343633685275737
E4B1S14,5.5569222726518115,0.008606022946501117
E4B2S14,6.883380989890026,0.002858748106796219
