Name,Ca,Mg,Na,K
ACMCr26,0.01650327202343569,0.018242201473495177,0.0007896473023868766,6.671799106169861e-06
E4B1R,0.04100712732336729,0.0015319246184856568,0.001180417101792107,4.103031510236296e-05
E4B1S1,0.009117700502060296,0.052452611708897465,0.4929148978740602,0.0007448051687567489
E4B2S1,0.007893434252794297,0.05348768694381821,0.5015763320580832,0.000776939751717552
E4B1S2,0.01011427681426382,0.05768885076502181,0.5379124644846071,0.0008129974525048296
E4B2S2,0.008278767451723274,0.05480205164362317,0.5109294757122366,0.0007807254354800417
E4B1S3,0.010388539376942996,0.05834390707812404,0.5433380644225212,0.000817407836558159
E4B2S3,0.009006539474031901,0.06021989080490545,0.5590029544688295,0.0008557394464040938
E4B1S4,0.012120299837299786,0.06677204507811901,0.619757177422383,0.0009669485921794083
E4B2S4,0.009698085252765876,0.06876338322835876,0.6341510807296012,0.0010032186910655715
E4B1S5,0.016091488799447603,0.08602237393155084,0.7923176545611558,0.0013093468215887435
E4B2S5,0.012187161940603784,0.08744876858325705,0.7998976716789308,0.0013481032276324494
E4B1S6,0.017008297843649513,0.09019800499869789,0.829170407708271,0.0014235545287600894
E4B2S6,0.013242110482137285,0.09580409320825227,0.8740459150600008,0.0014994306260855004
E4B1S7,0.023475488894518226,0.12261450736111709,1.1220328426121684,0.002042757457040573
E4B2S7,0.018778168868503933,0.1331614915528243,1.2082569524774425,0.002204654784414635
E4B1S8,0.021048316668589164,0.1272331868933105,1.1539981967479978,0.00212493053329765
E4B2S8,0.02077786446703838,0.1476568104569509,1.3377036334769228,0.0025865840482283175
E4B1S9,0.027740186914971827,0.1779482510168851,1.6089567122589299,0.003259598659561748
E4B2S9,0.025890270493566278,0.1830794611467498,1.6539734792023242,0.0031903069033017892
E4B1S10,0.03136846423520582,0.2028302820837419,1.8149620448116985,0.003659244423623649
E4B2S10,0.031155243935931984,0.21849356029362285,1.9701799826531843,0.003846354654736009
E4B1S11,0.04288101842574124,0.27513093690292706,2.493425517248778,0.005194970136606947
E4B2S11,0.047974734213741564,0.3316521736739041,2.9823991031006907,0.006268954876618858
E4B1S12,0.06878449307219585,0.4359090371174358,3.9619312837940672,0.008776576808085015
E4B2S12,0.06972173065835983,0.47709361316008403,4.2907025495993505,0.009415145445381537
E4B1S13,0.11931850361967355,0.979375264499087,4.362728631821918,0.020397513992410517
E4B2S13,0.1428090253622932,1.3735408487281213,3.9992415642003842,0.027949803170507544
E4B1S14,0.19976610881947238,1.9131139845000704,1.9347851236869766,0.042055998015887136
E4B2S14,0.29964206399798216,2.9239495019878934,0.36410461110007775,0.07146375171316842
Cryst2-air,0.014307773926040948,0.029537008953464738,0.003873304120505922,0.00026630973398503855
Cryst2-MQ,0.02020357073156723,0.02123427327059552,0.00016023134912129287,1.8103814428539565e-05
Cryst2-SeaNaCl,0.01896258200326149,0.01985085977050717,0.0006943044730993808,1.774148825985244e-05
Cryst2-SatNaCl,0.014617018107035687,0.01586789232486077,0.07330221863076287,7.942439497738166e-05
